102308
2 9 31 126 Retail–DrugStores .. –4.3–1.4
3 3 3 90 Mdcal–Outpnt/HmCr 95 –15.3–4.7
4 4 11 185 Insurance–Brokers 88 –14.7–2.6
5 8 4 22 Elec–MilitarySystems 93 –2.0–2.4
6 2 14 178 ComptrSftwr–Mdcl 96 –25.3–2.5
7 1 2 152 Retail–Discnt&Vari .. +11.5–3.7
8 10 7 143 CommlSvcs–Schools 97 –13.1–3.9
9 5 1 83 Medical–Genetics .. –17.4–4.1
10 16 39 51 Soap&ClngPreparat .. –7.2–3.9
11 11 75 79 Banks–Southeast 88 –20.5–3.2
12 21 33 31 Food–MscPrparation 92 –16.2–2.6
13 14 13 66 Medical–Products 92 –24.8–4.5
14 15 6 61 Medical–Biomed/Bth 92 –24.8–3.3
15 7 34 111 Banks–Wst/Sthwst 88 –27.8–3.4
16 30 60 63 Mdcal–Drg/Dvrsified .. –6.2–3.7
17 28 24 73 Medical–EthicalDrgs 85 –28.3–4.6
18 25 69 52 Utility–GasDstribtn 85 –20.5–3.9
19 44 130 94 Retail–Spr/MiniMkts 89 –27.2–4.3
20 20 91 48 Banks–Midwest 85 –21.9–3.9
21 13 92 30 Banks–Northeast 86 –16.1 –3.1
22 17 23 101 ComlSvcs–Scrty 80 –31.7 –3.4
23 37 118 76 Financ–Svings&Lo 89 –29.9 –1.7
24 18 70 60 Cosmetics/PersnlCre 88 –23.1 –4.5
25 77 154 39 Fnanc–IdxTrckngFd .. –28.4 –2.3
26 32 64 12 DvrsifiedOprtions 81 –22.5 –3.0
27 53 124 16 Tobacco 87 –17.8 –1.6
28 24 58 33 Medical–GenercDrgs 87 –12.2 –3.2
29 6 21 131 Retail/Whlsle–Food 86 –22.4 –3.8
30 36 36 45 CommlSvcs–Misc 90 –34.9 –3.7
31 23 12 40 Mdical/Dntal–Srvcs 91 –33.5 –5.5
32 38 88 59 Fnce–InvsmntMgt 67 –39.6 –5.0
33 40 131 114 Utility–WaterSupply 83 –23.1 –4.9
34 33 20 28 Medical–Systems/Eqp 90 –37.6 –5.3
35 41 30 14 PollutionCntrl–Svcs 92 –13.2 –4.4
36 27 68 54 Insrnce–Prp/Cas/Titl 80 –31.0 –4.6
37 31 5 20 Leisr–Tys/Gms/Hbby .. –16.6 –4.8
38 49 61 36 CmmlSvcs–Cnsltng 89 –29.7 –3.4
39 47 104 65 Mdcal–WhlsleDrg 86 –26.4 –3.0
40 12 71 160 Banks–SuprRgional 82 –32.0 –6.3
41 84 156 57 CommlSvcs–Hlthcre .. –36.0 –3.7
42 60 106 74 Utility–ElctricPwr 80 –33.7 –5.4
43 73 117 97 HsholdofficFurnitr .. –44.4 –4.4
44 22 29 142 Mdcal–NrsngHmes 91 –42.5 –7.2
45 19 9 55 Rtail–Clthing/Shoe 85 –36.9 –5.2
46 76 67 62 Househld–Applncs .. –35.1 –6.9
47 29 45 82 Food–Confectionery .. –3.4 –4.1
48 63 116 117 Medical/Dntal–Sppls 89 –30.0 –3.7
49 26 65 103 InvstmntBrokers 84 –51.6 –6.1
50 66 43 77 Rtail/Whlsle–At/Prts 83 –33.7 –3.4
51 119 153 70 FnancepblInvFdbnd .. –24.7 +0.3
52 48 22 188 Comptr–PrphrlEqp .. –29.6 –1.8
53 35 89 191 Mdical–HlthMntOrg 82 –49.1 –10
54 103 127 164 Leisre–Mvies&Rel 64 –34.4 –3.7
55 72 94 157 Telecom–WirlssEqp 78 –40.2 –4.8
56 50 10 84 RetlWhsleBldgPrds 87 –16.6 –5.7
57 57 35 53 ComptrSftwr–Entr 86 –45.7 –4.4
58 45 16 10 Bldg–A/C&HeatingP 76 –17.5 –4.8
59 90 15 11 Trnsportation–Trck 77 –18.3 –5.1
60 43 49 67 Retail–MjrDscChns .. –26.7 –5.1
61 34 59 58 Cmpter–TechSrvcs 85 –29.0 –5.3
62 67 83 69 FuneralSvcs&Rel .. –29.0 –2.8
63 92 168 6 Oil&Gas–USRoyalty 81 –13.5 –5.4
64 65 27 18 Chemicals–Specialty 78 –36.6 –7.3
65 99 56 3 Bldg–Rsidnt/Comml 61 –9.5 –3.8
66 46 54 47 FnancialSrvcs–Misc 83 –47.6 –6.6
67 98 57 80 Internet–Software .. –38.6 –2.8
68 71 19 50 Rtail–HmeFrnshngs .. –26.5 –4.0
69 80 38 193 Compter–Netwrking 85 –45.6 –2.7
70 55 100 182 Telecom–Services 73 –48.8 –6.5
71 75 111 49 Beverages–Alcoholic 75 –27.3 –7.6
72 52 63 72 Finance–Reit .. –34.9 –6.4
73 91 28 7 Transportation–Rail 89 –4.9 –3.3
74 51 81 86 Apparel–Shoes&Rel 82 –37.1 –6.8
75 86 76 25 Containers 79 –32.7 –6.0
76 68 48 187 Fincecnsmer/CmlLns 87 –42.9 –6.9
77 54 112 105 Retail–Restaurants 84 –46.8 –4.1
78 135 143 133 Retail–MailOrder&Di .. –47.1 –2.2
79 142 174 75 Oil&Gas–Trnsprt/Pip 82 –34.6 –2.7
80 69 50 106 CmmlSvcs–MrktRch 87 –32.4 –5.2
81 64 175 163 Media–Radio/Tv 60 –57.4 –8.7
82 144 132 155 Rtail/Whlslecmp/Cll .. –42.7 –3.4
83 83 87 98 Elec–Scntific/Msrng 82 –37.4 –4.6
84 56 46 112 Bldg–Mntnance&S .. –27.5 –8.7
85 39 73 127 Insurance–Life 67 –38.4 –6.7
86 61 32 171 Bldg–Paint&Allied 65 –27.0 –6.6
87 123 123 170 ComptrSftwr–Scrity 85 –43.5 –2.9
88 128 86 41 Transportation–Svcs 82 –22.1 –1.2
89 87 37 107 Bldg–CnstrPrds/Msc 69 –38.8 –5.0
90 111 167 175 Bldg–Mbile/Mfg&Rv .. –49.0 –6.0
91 100 110 179 Retail–LeisurePrds .. –50.8 –4.1
92 116 103 102 Aerospce/DfnseEqp 83 –45.2 –4.0
93 108 121 177 OfficeSuppliesMfg .. –44.6 –4.8
94 110 150 34 Bvrages–SftDrinks 77 –40.1 –4.4
95 112 144 120 RealEstateOprtions 59 –30.3 –4.0
96 160 173 24 AgriculturalOprtions 68 –36.6 –7.9
97 133 126 96 ComptrSftwr–Fincl 84 –43.5 –4.4
98 114 95 149 CompterSftwr–Dsgn 83 –38.8 –5.5
99 79 17 176 Retail–Misc 84 –53.9 –5.4
100 85 109 180 Auto/Trck–RplcPrts .. –52.3 –6.2
101 81 77 156 RtailWhlsleOffcSup .. –38.6 –2.8
102 70 47 124 CommlSvcs–Stffng .. –42.6 –4.5
103 96 102 134 Bldg–HandTools 63 –32.7 –4.8
104 140 139 95 Elec–SemicndctrEqp .. –52.3 –5.1
105 145 62 108 Trnsprttion–EqpMfg .. –36.5 –5.4
106 161 134 42 CmptrSftwr–Edu .. –42.4 –4.9
107 42 44 169 Telecom–Equipment 69 –46.2 –6.4
108 59 18 93 Apprel–ClthingMfg 74 –37.4 –6.0
109 124 155 166 Internet–Content 88 –48.9 –2.0
110 139 172 35 Telecom–SrvcsFrgn 74 –47.0 –9.9
111 105 135 88 Cmptr–IntgrtdSyst .. –40.5 –3.8
112 153 122 122 Elec–ContractMfg .. –41.8 –1.4
113 118 90 99 Elctricl–Equipmnt 76 –47.5 –7.9
114 97 151 141 Banks–MoneyCntr 72 –42.6 –6.9
115 89 25 29 Mchnry–GenIndstrl 73 –38.2 –9.0
116 150 163 148 CommlSvcs–Prntng .. –53.7 –4.2
117 62 79 104 Bldg–WoodPrds .. –34.9 –6.7
118 125 136 158 Internet–Isp .. –46.8 –5.4
119 115 119 46 Trnsprt–AirFreight .. –37.7 –7.8
120 138 142 162 ConsumerProd–Misc .. –51.8 –2.7
121 132 138 89 Elec–MiscProducts .. –51.4 –4.8
122 143 158 17 Food–MeatProducts .. –37.8 –5.2
123 129 128 165 Bldg–Cment/Cncrt .. –43.2 –6.6
124 74 66 44 PollutnCntrl–Eqp 77 –34.6 –7.7
125 120 98 172 Media–Books .. –47.4 –6.9
126 146 115 118 CommlSvcs–Leasing 75 –39.2 –7.5
127 58 74 115 Paper&PaperProduc 60 –48.9 –6.9
128 95 55 144 Elec–SmicondctrMfg 67 –50.1 –4.5
129 159 96 71 Telecom–WirlssSvcs 82 –53.1 –8.8
130 104 85 135 Leisure–Products 50 –49.3 –7.7
131 101 53 186 Intrnet–NtwrkSltns .. –48.2 –5.4
132 168 179 145 Oil&Gas–Rfing/Mkt 65 –52.3 –6.0
133 127 114 136 ComptrSftwr–Dsktp .. –46.8 –6.7
134 134 108 161 Elec–PrtsDistribtrs .. –48.7 –5.6
135 93 40 21 MetalProc&Fabrica 60 –51.9 –9.2
136 136 148 78 Aerospace/Defense .. –42.0 –3.4
137 163 170 110 Financ–PblInvFdeqt .. –46.1 –6.0
138 148 149 129 MetalPrds–Fstners .. –36.8 –5.1
139 109 51 27 Mchnry–MtlHdlg .. –37.9 –4.6
140 130 147 64 Insrnce–Acc&Heal .. –49.0 –9.9
141 82 41 153 Retail/Whlsle–Jwlry .. –48.5 –6.1
142 106 84 116 Internet–ECommerce 79 –49.5 –3.7
143 94 93 159 Media–Cble/StlliteTv 62 –47.6 –7.8
144 171 183 138 AutoManufacturers .. –44.2 –7.1
145 113 52 43 Medcal–Hospitals .. –35.3 –4.0
146 78 8 109 Food–DairyProducts .. –37.5 –11
147 187 187 190 Textile–Mill/Hsehold .. –67.4 –1.5
148 121 133 192 Houshld–CnsmerElc .. –52.4 –5.5
149 122 140 168 Chemicals–Plastics .. –44.2 –4.9
150 149 181 140 RealEstateDevlpmt .. –51.8 –7.0
151 152 120 167 Comptr–DataStrge .. –50.9 –4.0
152 155 160 154 Office–Eqp&Autom .. –44.6 –5.0
153 177 186 91 Finc–PblInvFd–Fn .. –51.7 –6.9
154 158 165 130 Media–Diversified 57 –57.4 –4.3
155 126 99 151 Leisure–Services 53 –57.8 –4.4
156 137 82 100 Elec–Cmpnent/Cntr .. –44.6 –5.1
157 102 72 85 Oil&Gas–IntlExplPr .. –55.4 –9.4
158 166 42 13 Energy–Other 67 –50.0 –9.7
159 156 182 56 Oil&Gas–IntlIntegra 67 –50.0 –9.4
160 151 157 26 Media–Periodicals .. –47.9 –4.7
161 167 125 23 Chemicals–Basic .. –37.5 –7.0
162 141 113 125 Retail–CnsmrElec .. –52.1 –7.8
163 117 78 146 Comptr–Manufctrs .. –47.7 +0.6
164 88 141 174 Telcom–FibrOptcs .. –52.1 –4.8
165 157 161 119 ComlSvcs–Advrtsng .. –56.9 –9.0
166 164 171 137 Insrnce–Divrsified .. –57.3 –8.5
167 165 146 128 Transportation–Ship .. –48.8 –7.7
168 131 80 1 Oil&Gas–USExplPro 67 –40.0 –11
169 172 101 150 Bldg–HeavyConstr .. –52.8 –11
170 179 159 123 Househld–Housewrs .. –49.5 +2.7
171 176 195 183 Media–Newspapers .. –62.4 –3.9
172 147 105 173 Retail–DprtmntStrs .. –55.1 –5.8
173 169 97 132 Machnry–Tools&Re .. –47.5 –12
174 180 185 196 Leisre–PhtoEqp/Rel .. –56.7 –5.5
175 154 129 38 Oil&Gas–FieldServic 53 –51.2 –10
176 185 137 184 Trucks&Parts–HvyD .. –59.5 –6.0
177 184 197 8 MetalOres–Gld/Silvr 45 –59.2 –16
178 181 152 92 Auto/Trck–OrgnlEqp .. –61.8 –6.4
179 178 166 37 MetalPrds–Distribtr .. –49.0 –5.9
180 174 164 189 Leisre–Gamng/Equip 54 –68.6 –5.7
181 191 188 197 Fnanc–Mrtg&RelSvc .. –80.1 –4.3
182 173 177 32 Oil&GascdnExplPro .. –40.9 –10
183 175 178 121 Banks–Foreign .. –57.0 –10
184 170 145 147 Leisure–Hotels&Mot .. –56.7 –7.2
185 162 107 113 Oil&Gas–Mchnry/Eq 57 –55.7 –13
186 186 184 19 Mchinry–Cnstr/Mng .. –54.8 –9.9
187 188 191 81 Food–Flour&Grain .. –45.6 –8.9
188 182 180 9 Oil&Gas–Drilling 59 –50.7 –12
189 190 192 87 Oil&Gas–USIntgrt .. –56.7 –13
190 193 169 4 Machinery–Farm .. –54.5 –12
191 183 190 68 Oil&Gas–CdnIntgrt .. –51.9 –11
192 189 162 5 Chemicals–Fertilizers 66 –54.3 –9.0
193 192 176 139 Auto/Trck–Tirs&M .. –59.7 –12
194 194 189 2 Steel–Producers .. –61.8 –12
195 195 194 181 Steel–SpcltyAlloys .. –72.2 –9.6
196 196 193 15 MetalOres 55 –57.7 –12
197 197 196 194 Mining–Gems .. –75.9 –8.2

102407
1 3 4 Bldg-HeavyConstruction 23 +64.1 +1.7
2 4 6 Computer-Manufacturers 12 +44.7 +4.7
3 5 69 Internet-Content 39 +26.9 +4.6
4 2 7 Internet-ECommerce 46 +40.4 +4.3
5 1 1 Chemicals-Fertilizers 13 +138 +2.1
6 8 3 MetalOres 59 +52.6 +3.4
7 10 31 Oil&Gas-IntlExplPr 29 +86.8 +2.8
8 9 12 Medical-Systems/Equip 103 +33.3 +2.0
9 7 15 Food-DairyProducts 8 +49.0 +2.8
10 12 38 ComputerSftwr-Enterprse 121 +32.3 +1.7
11 6 13 ComputerSftwr-Security 24 +50.7 +2.6
12 11 88 MetalOres-Gold/Silver 82 +18.6 +2.8
13 19 50 Oil&Gas-IntlIntegra 19 +30.7 +1.7
